Unnamed: 0,total_bill,tip,sex,smoker,day,time,size
110,14.0,3.0,1,0,1,0,2
111,7.25,1.0,0,0,1,0,1
112,38.07,4.0,1,0,2,0,3
113,23.95,2.55,1,0,2,0,2
114,25.71,4.0,0,0,2,0,3
115,17.31,3.5,0,0,2,0,2
116,29.93,5.07,1,0,2,0,4
117,21.36019512195122,1.5,0,0,3,1,2
118,21.36019512195122,1.8,0,0,3,1,2
119,24.08,2.92,0,0,3,1,4
120,21.36019512195122,2.31,1,0,3,1,2
121,13.42,1.68,0,0,3,1,2
122,14.26,2.5,1,0,3,1,2
123,15.95,2.0,1,0,3,1,2
124,21.36019512195122,2.52,0,0,3,1,2
125,29.8,4.2,0,0,3,1,6
126,8.52,1.48,1,0,3,1,2
127,14.52,2.0,0,0,3,1,2
128,21.36019512195122,2.0,0,0,3,1,2
129,22.82,2.18,1,0,3,1,3
130,19.08,1.5,1,0,3,1,2
131,20.27,2.83,0,0,3,1,2
132,21.36019512195122,1.5,0,0,3,1,2
133,21.36019512195122,2.0,0,0,3,1,2
134,18.26,3.25,0,0,3,1,2
135,8.51,1.25,0,0,3,1,2
136,21.36019512195122,2.0,0,0,3,1,2
137,14.15,2.0,0,0,3,1,2
138,16.0,2.0,1,1,3,1,2
139,13.16,2.75,0,0,3,1,2
140,17.47,3.5,0,0,3,1,2
141,34.3,6.7,1,0,3,1,6
142,41.19,5.0,1,0,3,1,5
143,27.05,5.0,0,0,3,1,6
144,16.43,2.3,0,0,3,1,2
145,8.35,1.5,0,0,3,1,2
146,18.64,1.36,0,0,3,1,3
147,21.36019512195122,1.63,0,0,3,1,2
148,9.78,1.73,1,0,3,1,2
149,7.51,2.0,1,0,3,1,2
150,14.07,2.5,1,0,2,0,2
151,13.13,2.0,1,0,2,0,2
152,17.26,2.74,1,0,2,0,3
153,24.55,2.0,1,0,2,0,4
154,19.77,2.0,1,0,2,0,4
155,29.85,5.14,0,0,2,0,5
156,48.17,5.0,1,0,2,0,6
157,25.0,3.75,0,0,2,0,4
158,13.39,2.61,0,0,2,0,2
159,16.49,2.0,1,0,2,0,4
160,21.5,3.5,1,0,2,0,4
161,21.36019512195122,2.5,1,0,2,0,2
162,16.21,2.0,0,0,2,0,3
163,13.81,2.0,1,0,2,0,2
164,17.51,3.0,0,1,2,0,2
165,24.52,3.48,1,0,2,0,3
166,20.76,2.24,1,0,2,0,2
167,31.71,4.5,1,0,2,0,4
168,21.36019512195122,1.61,0,1,1,0,2
169,21.36019512195122,2.0,0,1,1,0,2
170,50.81,10.0,1,1,1,0,3
171,15.81,3.16,1,1,1,0,2
172,7.25,5.15,1,1,2,0,2
173,31.85,3.18,1,1,2,0,2
174,16.82,4.0,1,1,2,0,2
175,32.9,3.11,1,1,2,0,2
176,17.89,2.0,1,1,2,0,2
177,14.48,2.0,1,1,2,0,2
178,9.6,4.0,0,1,2,0,2
179,34.63,3.55,1,1,2,0,2
180,34.65,3.68,1,1,2,0,4
181,23.33,5.65,1,1,2,0,2
182,45.35,3.5,1,1,2,0,3
183,23.17,6.5,1,1,2,0,4
184,40.55,3.0,1,1,2,0,2
185,20.69,5.0,1,0,2,0,5
186,20.9,3.5,0,1,2,0,3
187,30.46,2.0,1,1,2,0,5
188,18.15,3.5,0,1,2,0,3
189,23.1,4.0,1,1,2,0,3
190,15.69,1.5,1,1,2,0,2
191,19.81,4.19,0,1,3,1,2
192,28.44,2.56,1,1,3,1,2
193,15.48,2.02,1,1,3,1,2
194,16.58,4.0,1,1,3,1,2
195,7.56,1.44,1,0,3,1,2
196,21.36019512195122,2.0,1,1,3,1,2
197,43.11,5.0,0,1,3,1,4
198,21.36019512195122,2.0,0,1,3,1,2
199,13.51,2.0,1,1,3,1,2
200,18.71,4.0,1,1,3,1,3
201,21.36019512195122,2.01,0,1,3,1,2
202,21.36019512195122,2.0,0,1,3,1,2
203,16.4,2.5,0,1,3,1,2
204,20.53,4.0,1,1,3,1,4
205,16.47,3.23,0,1,3,1,3
206,26.59,3.41,1,1,1,0,3
207,38.73,3.0,1,1,1,0,4
208,24.27,2.03,1,1,1,0,2
209,21.36019512195122,2.23,0,1,1,0,2
210,30.06,2.0,1,1,1,0,3
211,25.89,5.16,1,1,1,0,4
212,48.33,9.0,1,0,1,0,4
213,13.27,2.5,0,1,1,0,2
214,28.17,6.5,0,1,1,0,3
215,21.36019512195122,1.1,0,1,1,0,2
216,28.15,3.0,1,1,1,0,5
217,21.36019512195122,1.5,1,1,1,0,2
218,7.74,1.44,1,1,1,0,2
219,30.14,3.09,0,1,1,0,4
220,21.36019512195122,2.2,1,1,0,1,2
221,13.42,3.48,0,1,0,1,2
222,8.58,1.92,1,1,0,1,1
223,15.98,3.0,0,0,0,1,3
224,13.42,1.58,1,1,0,1,2
225,16.27,2.5,0,1,0,1,2
226,21.36019512195122,2.0,0,1,0,1,2
227,20.45,3.0,1,0,1,0,4
228,13.28,2.72,1,0,1,0,2
229,22.12,2.88,0,1,1,0,2
230,24.01,2.0,1,1,1,0,4
231,15.69,3.0,1,1,1,0,3
232,21.36019512195122,3.39,1,0,1,0,2
233,21.36019512195122,1.47,1,0,1,0,2
234,15.53,3.0,1,1,1,0,2
235,21.36019512195122,1.25,1,0,1,0,2
236,21.36019512195122,1.0,1,1,1,0,2
237,32.83,1.17,1,1,1,0,2
238,35.83,4.67,0,0,1,0,3
239,29.03,5.92,1,0,1,0,3
240,27.18,2.0,0,1,1,0,2
241,22.67,2.0,1,1,1,0,2
242,17.82,1.75,1,0,1,0,2
243,18.78,3.0,0,0,3,0,2
